"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"287","Rural",2,7.653,1.118,18.394,17.147,564.037
"288","Urban",3,69.4705,17.996,14.938,15.252,212.889
"289","Urban",3,12.349,0.853,28.552,19.647,826.173
"290","Urban",2,2.5526,0.398,29.867,NA,1554.877
"291","Urban",3,27.6724,10.005,26.014,22.294,308.85
"292","Urban",3,64.074,18.211,NA,14.002,NA
"293","Urban",3,17.0393,0.968,13.99,12.887,312.907
"294","Rural",1,6.7857,0.855,34.903,30.007,739.239
"295","Rural",2,6.4624,0.679,34.782,33.319,1560.678
"296","Rural",1,6.7436,0.787,36.188,35.35,801.776
"297","Urban",3,4.0409,0.353,26.364,24.506,1073.801
"298","Urban",3,15.9833,1.16,19.85,14.656,737.783
"299","Urban",3,1.6923,0.42,58.393,60.287,2823.998
"300","Urban",3,3.5439,0.818,23.211,16.147,1093.54
"301","Rural",1,5.7437,0.355,46.98,47.039,1252.626
"302","Urban",3,10.5966,0.77,24.478,23.54,936.214
"303","Urban",3,30.9266,17.739,18.177,16.878,350.116
"304","Urban",2,15.0093,0.808,33.498,24.046,575.64
"305","Rural",1,6.5467,0.374,46.963,46.978,1347.204
"306","Rural",1,5.6584,0.344,39.661,38.615,1254.355
"307","Rural",1,5.6504,0.827,21.081,20.819,738.826
"308","Urban",3,36.4818,9.28,19.79,19.307,417.801
"309","Urban",3,7.4166,0.745,35.895,34.68,746.933
"310","Urban",3,3.9243,0.649,41.405,28.151,1340.731
"311","Urban",2,12.9695,0.748,37.657,36.995,614.93
"312","Urban",3,12.2688,0.748,38.012,39.011,1326.327
"313","Urban",3,1.5023,0.631,33.978,25.679,NA
"314","Rural",1,36.8094,9.379,18.285,10.986,361.819
"315","Urban",1,5.8798,0.361,44.003,43.965,1591.873
"316","Urban",2,7.0093,0.865,NA,43.8,NA
"317","Rural",1,5.18,0.363,45.133,43.997,1910.383
"318","Rural",1,3.9357,0.369,48.121,46.957,1415.074
"319","Urban",2,4.8667,0.362,33.773,33.704,3932.602
"320","Urban",3,15.9744,0.751,29.702,28.763,530.322
"321","Urban",3,15.0014,1.179,35,18.977,482.18
"322","Urban",2,16.6967,1.079,25.072,18.269,465.487
"323","Urban",2,28.6159,1.867,26.038,17.13,383.436
"324","Rural",2,15.1837,0.744,28.843,20.425,1494.137
"325","Urban",3,6.8798,0.788,41.209,NA,910.809
"326","Urban",3,8.0093,0.908,29.175,28.5,653.076
"327","Urban",3,8.9388,0.724,33.273,35.622,684.937
"328","Urban",3,14.572,0.891,15.317,15.547,650.221
"329","Urban",3,7.4931,0.827,29.411,29.202,821.056
"330","Urban",2,29.7681,7.858,19.732,19.543,392.356
